"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Rutgers, The State University of New Jersey, Special Collections and University Archives","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=Rutgers%2C+The+State+University+of+New+Jersey Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","United States of America","New Brunswick","40.503858","-74.452933","Explore","No post available","0"
"Biblioteca Ambrosiana di Milano","https://ambrosiana.comperio.it/biblioteca-digitale/ Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","yes","All Rights Reserved","no","Italy","Milan","45.4635","9.1858","Explore","No post available","0"
"University of Pennsylvania","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=University+of+Pennsylvania Digitized manuscripts","Thousands (more than 1000 digitized manuscripts)","yes","CC-BY","yes","United States of America","Philadelphia","39.95273","-75.19348","Explore","No post available","0"
"Bibliothèque et archives du château","https://arca.irht.cnrs.fr/collection/1610/manuscripts Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","All Rights Reserved","no","France","Chantilly","49.19382","2.48538","Explore","No post available","0"
"University of Kansas, Kenneth Spencer Research Library, Special Collections","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=University+of+Kansas Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","Unknown","no","United States of America","Lawrence","38.958922","-95.247567","Explore","No post available","0"
"University of Pennsylvania, Rare Book and Manuscript Library","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=University+of+Pennsylvania Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","yes","Unknown","no","United States of America","Philadelphia","39.952739","-75.193497","Explore","No post available","0"
"Hochschul- und Landesbibliothek Fulda","https://fuldig.hs-fulda.de/viewer/search/-/-/1/-/FACET_DC%3Ahandschriften.mittelalterlichehandschriften/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","CC BY-NC-SA 4.0","no","Germany","Fulda","50.55483","9.68027","Explore","No post available","0"
"Stiftsbibliothek","https://www.e-codices.unifr.ch/en/list/csg Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","Unknown","no","Switzerland","St. Gallen","47.423439","9.3777","Explore","No post available","0"
"Le Labo - Cambrai (Médiathèque municipale)","https://arca.irht.cnrs.fr/collection/1543/manuscripts Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","yes","Unknown","no","France","Cambrai","50.17254","3.23104","Explore","No post available","0"
"Biblioteca Estense Universitaria","https://edl.cultura.gov.it/home/index.aspx Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","All Rights Reserved","no","Italy","Modena","44.648208","10.921019","Explore","No post available","0"
"Stiftsbibliothek","https://www.e-codices.unifr.ch/en/list/sbe Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","Switzerland","Einsiedeln","47.128093","8.744269","Explore","No post available","0"
"Benediktinerinnenkloster","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Hermetschwil%2C+Benediktinerinnenkloster Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","Switzerland","Hermetschwil","47.334273","8.346243","Explore","No post available","0"
"Braginsky Collection","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Z%C3%BCrich%2C+Braginsky+Collection Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","Switzerland","Zürich","47.360388","8.53106","Explore","No post available","0"
"Trinity College Dublin","https://digitalcollections.tcd.ie Digitized manuscripts","Thousands (more than 1000 digitized manuscripts)","yes","Unknown","no","Ireland","Dublin","53.343044","-6.252082","Explore","No post available","0"
"KU Leuven Libraries","https://limo.libis.be/primo-explore/collectionDiscovery?vid=KULeuven&collectionId=81428376490001488 Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","yes","Public Domain","yes","Belgium","Leuven","50.859692","4.682045","Explore","No post available","0"
"Fondation Martin Bodmer","https://www.e-codices.unifr.ch/en/list/fmb Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","Unknown","no","Switzerland","Cologny","46.215268","6.180629","Explore","No post available","0"
"Universitaire Bibliotheken Leiden","https://digitalcollections.universiteitleiden.nl/westernmedievalmanuscripts Digitized manuscripts","Thousands (more than 1000 digitized manuscripts)","yes","Attribution 4.0 International (CC BY 4.0)","yes","Netherlands","Leiden","52.157513","4.481256","Explore","No post available","0"
"Indiana University, The Lilly Library","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=Indiana+University%2C+Bloomington Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","Unknown","no","United States of America","Bloomington","39.167894","-86.518975","Explore","No post available","0"
"Mediatheque du Grand Troyes - Jacques-Chirac de Troyes Champagne Métropole","https://portail.mediatheque-jacques-chirac.fr/iguana/www.main.cls?v=367eb30b-e49d-4306-a94b-a073d1477b15 Digitized manuscripts","Thousands (more than 1000 digitized manuscripts)","yes","CC BY-NC","no","France","Troyes","48.301431","4.072377","Explore","No post available","0"
"Stiftsbibliothek","https://www.e-codices.unifr.ch/en/list/bke Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","yes","Unknown","no","Switzerland","Engelberg","46.819979","8.406987","Explore","No post available","0"
"Biblioteca statale del Monumento nazionale di Montecassino","https://omnes.dbseret.com/montecassino/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","Unknown","no","Italy","Cassino","41.49115","13.81457","Explore","No post available","0"
